Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD)
136,43,Male,Sandals,Footwear,81
137,39,Male,Blouse,Clothing,86
138,68,Male,Sneakers,Footwear,43
139,68,Male,Skirt,Clothing,29
140,49,Male,Coat,Outerwear,95
141,63,Male,Shirt,Clothing,28
142,56,Male,Gloves,Accessories,46
143,37,Male,Jacket,Outerwear,58
144,30,Male,Coat,Outerwear,48
145,19,Male,Shoes,Footwear,43
146,24,Male,Jewelry,Accessories,95
147,52,Male,Skirt,Clothing,30
148,63,Male,Shoes,Footwear,64
149,37,Male,Gloves,Accessories,90
150,38,Male,Pants,Clothing,76
151,35,Male,Boots,Footwear,96
152,28,Male,Sunglasses,Accessories,47
153,30,Male,Shirt,Clothing,85
154,69,Male,Hoodie,Clothing,55
155,41,Male,Dress,Clothing,98
156,63,Male,Socks,Clothing,77
157,35,Male,Shorts,Clothing,26
158,36,Male,Hat,Accessories,68
159,25,Male,Shirt,Clothing,73
160,58,Male,Gloves,Accessories,27
161,27,Male,Gloves,Accessories,23
162,65,Male,Backpack,Accessories,49
163,54,Male,Sunglasses,Accessories,74
164,54,Male,Skirt,Clothing,67
165,59,Male,Handbag,Accessories,65
166,42,Male,Handbag,Accessories,60
167,46,Male,Sneakers,Footwear,31
168,33,Male,Gloves,Accessories,27
169,34,Male,Shoes,Footwear,80
170,27,Male,Jacket,Outerwear,30
171,52,Male,Shirt,Clothing,25
172,29,Male,Shorts,Clothing,35
173,54,Male,Jewelry,Accessories,67
174,25,Male,Hat,Accessories,46
175,41,Male,Shoes,Footwear,35
176,53,Male,Coat,Outerwear,86
177,53,Male,Backpack,Accessories,81
178,21,Male,Hoodie,Clothing,42
179,61,Male,Skirt,Clothing,43
180,64,Male,Boots,Footwear,31
181,51,Male,Sandals,Footwear,81
182,32,Male,Pants,Clothing,61
183,38,Male,Gloves,Accessories,96
184,58,Male,Skirt,Clothing,29
185,32,Male,Sneakers,Footwear,33
186,46,Male,T-shirt,Clothing,32
187,39,Male,Backpack,Accessories,56
188,19,Male,Shoes,Footwear,94
189,50,Male,Hoodie,Clothing,53
190,36,Male,Blouse,Clothing,82
191,65,Male,Coat,Outerwear,70
192,64,Male,Hat,Accessories,76
193,46,Male,Shoes,Footwear,29
194,36,Male,Belt,Accessories,100
195,51,Male,Backpack,Accessories,94
196,51,Male,Jacket,Outerwear,25
197,38,Male,Boots,Footwear,88
198,59,Male,Scarf,Accessories,78
199,57,Male,Jewelry,Accessories,45
200,54,Male,Hat,Accessories,73
201,25,Male,Dress,Clothing,61
202,69,Male,Blouse,Clothing,22
203,57,Male,Hat,Accessories,38
204,70,Male,Scarf,Accessories,38
205,24,Male,Sneakers,Footwear,100
206,67,Male,Shirt,Clothing,64
207,24,Male,T-shirt,Clothing,55
208,62,Male,Gloves,Accessories,91
209,57,Male,Skirt,Clothing,38
210,55,Male,Sandals,Footwear,97
211,45,Male,Jacket,Outerwear,22
212,69,Male,Skirt,Clothing,92
213,67,Male,Handbag,Accessories,84
214,30,Male,Handbag,Accessories,93
215,24,Male,Jacket,Outerwear,50
216,62,Male,Scarf,Accessories,64
217,43,Male,Shorts,Clothing,61
218,35,Male,Sunglasses,Accessories,48
219,28,Male,T-shirt,Clothing,45
220,32,Male,Belt,Accessories,88
221,39,Male,Sneakers,Footwear,57
222,28,Male,Hat,Accessories,68
223,47,Male,Gloves,Accessories,94
224,20,Male,Pants,Clothing,41
225,63,Male,Socks,Clothing,83
226,25,Male,Jacket,Outerwear,22
227,29,Male,Shoes,Footwear,74
228,50,Male,Jeans,Clothing,90
229,18,Male,Socks,Clothing,79
230,70,Male,Sandals,Footwear,28
231,66,Male,Scarf,Accessories,88
232,28,Male,Blouse,Clothing,26
233,54,Male,Jewelry,Accessories,27
234,19,Male,Sweater,Clothing,83
235,20,Male,Gloves,Accessories,39
236,43,Male,Sunglasses,Accessories,89
237,38,Male,Coat,Outerwear,68
238,50,Male,Dress,Clothing,90
239,64,Male,Skirt,Clothing,34
240,49,Male,Pants,Clothing,51
241,47,Male,Sweater,Clothing,45
242,36,Male,Hoodie,Clothing,88
243,55,Male,Coat,Outerwear,85
244,25,Male,Jewelry,Accessories,100
245,53,Male,Belt,Accessories,42
246,49,Male,Sandals,Footwear,53
247,35,Male,Sunglasses,Accessories,86
248,29,Male,Sweater,Clothing,66
249,47,Male,Belt,Accessories,100
250,53,Male,Handbag,Accessories,47
251,33,Male,Skirt,Clothing,25
252,21,Male,Handbag,Accessories,51
253,32,Male,Shorts,Clothing,41
254,52,Male,Boots,Footwear,73
255,67,Male,Sunglasses,Accessories,42
256,43,Male,Scarf,Accessories,20
257,58,Male,Jewelry,Accessories,30
258,20,Male,Handbag,Accessories,53
259,61,Male,Gloves,Accessories,74
260,32,Male,Jeans,Clothing,57
261,38,Male,Hat,Accessories,57
262,21,Male,Jeans,Clothing,77
263,37,Male,Pants,Clothing,40
264,27,Male,Shorts,Clothing,46
265,36,Male,Pants,Clothing,78
266,32,Male,Backpack,Accessories,59
267,51,Male,Jewelry,Accessories,75
268,64,Male,Sweater,Clothing,54
269,68,Male,Shoes,Footwear,42
270,68,Male,Blouse,Clothing,44
271,33,Male,Jeans,Clothing,52
272,65,Male,Sunglasses,Accessories,69
273,48,Male,Jewelry,Accessories,26
274,69,Male,Coat,Outerwear,33
275,59,Male,Jewelry,Accessories,32
276,48,Male,Backpack,Accessories,85
277,25,Male,Skirt,Clothing,30
278,29,Male,Shirt,Clothing,29
279,57,Male,Sweater,Clothing,95
280,23,Male,Sneakers,Footwear,69
281,45,Male,Sandals,Footwear,69
282,38,Male,Belt,Accessories,61
283,21,Male,Skirt,Clothing,94
284,32,Male,Sweater,Clothing,30
285,63,Male,Skirt,Clothing,45
286,29,Male,Handbag,Accessories,39
287,27,Male,Jewelry,Accessories,51
288,56,Male,Scarf,Accessories,37
289,30,Male,T-shirt,Clothing,62
290,49,Male,Coat,Outerwear,85
291,58,Male,T-shirt,Clothing,33
292,57,Male,Dress,Clothing,26
293,60,Male,Shoes,Footwear,99
294,69,Male,Handbag,Accessories,39
295,70,Male,Skirt,Clothing,20
296,53,Male,Sunglasses,Accessories,42
297,25,Male,Sandals,Footwear,74
298,48,Male,Shoes,Footwear,26
299,69,Male,T-shirt,Clothing,53
300,25,Male,Sneakers,Footwear,80
301,29,Male,Hat,Accessories,98
302,46,Male,Skirt,Clothing,95
303,37,Male,Sweater,Clothing,44
304,20,Male,Sandals,Footwear,60
305,40,Male,Dress,Clothing,84
306,60,Male,Sweater,Clothing,59
307,26,Male,Jacket,Outerwear,49
308,29,Male,Gloves,Accessories,32
309,66,Male,Handbag,Accessories,29
310,66,Male,Dress,Clothing,22
311,56,Male,Pants,Clothing,85
312,69,Male,Jeans,Clothing,52
313,38,Male,Pants,Clothing,89
314,42,Male,Dress,Clothing,77
315,30,Male,Pants,Clothing,24
316,66,Male,Jewelry,Accessories,24
317,36,Male,Handbag,Accessories,22
318,58,Male,Sweater,Clothing,82
319,45,Male,Backpack,Accessories,67
320,47,Male,Shorts,Clothing,74
321,66,Male,Jewelry,Accessories,72
322,41,Male,Sneakers,Footwear,36
323,41,Male,Belt,Accessories,95
324,66,Male,Hoodie,Clothing,78
325,37,Male,Shirt,Clothing,82
326,70,Male,Pants,Clothing,70
327,62,Male,Scarf,Accessories,41
328,61,Male,Coat,Outerwear,42
329,48,Male,Coat,Outerwear,50
330,70,Male,Socks,Clothing,31
331,46,Male,Sweater,Clothing,51
332,31,Male,Shirt,Clothing,98
333,19,Male,Shirt,Clothing,86
334,39,Male,Sweater,Clothing,64
335,41,Male,Blouse,Clothing,46
336,20,Male,Sweater,Clothing,85
337,36,Male,Hat,Accessories,81
338,32,Male,Sweater,Clothing,59
339,69,Male,Hoodie,Clothing,79
340,40,Male,Shorts,Clothing,33
341,40,Male,Shorts,Clothing,47
342,20,Male,Hat,Accessories,20
343,64,Male,Coat,Outerwear,36
344,27,Male,Sandals,Footwear,39
345,24,Male,Skirt,Clothing,71
346,48,Male,Shoes,Footwear,59
347,49,Male,Jeans,Clothing,50
348,36,Male,Sandals,Footwear,41
349,56,Male,Blouse,Clothing,59
350,37,Male,Hat,Accessories,87
351,42,Male,Sweater,Clothing,68
352,28,Male,Skirt,Clothing,90
353,27,Male,Jeans,Clothing,71
354,63,Male,Sneakers,Footwear,64
355,58,Male,Jewelry,Accessories,76
356,37,Male,Jewelry,Accessories,42
357,56,Male,Pants,Clothing,80
358,18,Male,Belt,Accessories,56
359,48,Male,Hat,Accessories,25
360,31,Male,Sneakers,Footwear,74
361,51,Male,Pants,Clothing,30
362,65,Male,T-shirt,Clothing,96
363,53,Male,Sneakers,Footwear,64
364,55,Male,Shorts,Clothing,88
365,62,Male,Shoes,Footwear,88
366,55,Male,Gloves,Accessories,88
367,64,Male,Socks,Clothing,36
368,52,Male,Dress,Clothing,40
369,24,Male,Handbag,Accessories,39
370,38,Male,Belt,Accessories,40
371,59,Male,Scarf,Accessories,34
372,27,Male,Sneakers,Footwear,83
373,24,Male,Sweater,Clothing,85
374,23,Male,Coat,Outerwear,27
375,69,Male,Jewelry,Accessories,78
376,59,Male,Sunglasses,Accessories,32
377,51,Male,Shoes,Footwear,51
378,63,Male,Scarf,Accessories,32
379,54,Male,Dress,Clothing,62
380,32,Male,T-shirt,Clothing,29
381,39,Male,Backpack,Accessories,69
382,66,Male,Jewelry,Accessories,25
383,28,Male,Jeans,Clothing,76
384,50,Male,Sunglasses,Accessories,77
385,70,Male,Sweater,Clothing,33
386,67,Male,Shorts,Clothing,93
387,64,Male,Jewelry,Accessories,39
388,45,Male,Coat,Outerwear,93
389,22,Male,Handbag,Accessories,82
390,27,Male,Boots,Footwear,42
391,25,Male,Gloves,Accessories,71
392,37,Male,Sweater,Clothing,86
393,26,Male,T-shirt,Clothing,82
394,33,Male,Shoes,Footwear,65
395,43,Male,Scarf,Accessories,29
396,37,Male,Sneakers,Footwear,65
397,46,Male,Dress,Clothing,88
398,22,Male,Belt,Accessories,46
399,20,Male,Boots,Footwear,67
400,60,Male,Scarf,Accessories,35
401,39,Male,Boots,Footwear,66
402,43,Male,T-shirt,Clothing,91
403,31,Male,Backpack,Accessories,78
404,19,Male,Sneakers,Footwear,45
405,35,Male,T-shirt,Clothing,93
406,41,Male,Jeans,Clothing,74
407,52,Male,Gloves,Accessories,55
408,45,Male,Hoodie,Clothing,76
409,34,Male,Sneakers,Footwear,66
410,35,Male,Shorts,Clothing,51
411,29,Male,Sweater,Clothing,26
412,59,Male,Jeans,Clothing,29
413,24,Male,Jacket,Outerwear,74
414,70,Male,Jewelry,Accessories,99
415,29,Male,Backpack,Accessories,88
416,67,Male,Coat,Outerwear,31
417,36,Male,Belt,Accessories,55
418,23,Male,Sandals,Footwear,81
419,18,Male,Sweater,Clothing,73
420,53,Male,Shorts,Clothing,91
421,32,Male,Socks,Clothing,54
422,38,Male,Shirt,Clothing,40
423,47,Male,Pants,Clothing,59
424,46,Male,Scarf,Accessories,26
425,66,Male,Sweater,Clothing,23
426,40,Male,Jeans,Clothing,87
427,43,Male,Pants,Clothing,71
428,58,Male,Backpack,Accessories,91
429,21,Male,Coat,Outerwear,64
430,42,Male,Sandals,Footwear,94
431,24,Male,Shirt,Clothing,40
432,43,Male,Hat,Accessories,76
433,47,Male,Shirt,Clothing,86
434,49,Male,Skirt,Clothing,92
435,50,Male,Shoes,Footwear,52
436,51,Male,Coat,Outerwear,28
437,40,Male,Pants,Clothing,46
438,45,Male,Jewelry,Accessories,50
439,52,Male,Belt,Accessories,23
440,62,Male,Jacket,Outerwear,50
441,20,Male,Shirt,Clothing,89
442,43,Male,Hoodie,Clothing,81
443,29,Male,Sunglasses,Accessories,69
444,22,Male,Sunglasses,Accessories,67
445,48,Male,Dress,Clothing,20
446,42,Male,Boots,Footwear,29
447,19,Male,Shirt,Clothing,74
448,60,Male,Shorts,Clothing,82
449,32,Male,Gloves,Accessories,23
450,26,Male,Jewelry,Accessories,45
451,25,Male,Boots,Footwear,21
452,66,Male,Jewelry,Accessories,31
453,45,Male,Pants,Clothing,45
454,54,Male,Jewelry,Accessories,56
455,37,Male,Jacket,Outerwear,97
456,54,Male,Blouse,Clothing,100
457,50,Male,Blouse,Clothing,96
458,25,Male,Gloves,Accessories,99
459,47,Male,Shorts,Clothing,91
460,63,Male,Hat,Accessories,30
461,64,Male,Shoes,Footwear,65
462,18,Male,Boots,Footwear,93
463,59,Male,Jacket,Outerwear,81
464,37,Male,Jewelry,Accessories,81
465,23,Male,Sunglasses,Accessories,52
466,54,Male,Skirt,Clothing,88
467,38,Male,Jeans,Clothing,24
468,19,Male,Backpack,Accessories,51
469,34,Male,Backpack,Accessories,38
470,21,Male,Shorts,Clothing,46
471,50,Male,Dress,Clothing,63
472,55,Male,Scarf,Accessories,72
473,20,Male,Jeans,Clothing,39
474,34,Male,Coat,Outerwear,42
475,62,Male,Sweater,Clothing,76
476,21,Male,Sneakers,Footwear,66
477,21,Male,Scarf,Accessories,90
478,42,Male,Sweater,Clothing,56
479,35,Male,Jewelry,Accessories,43
480,39,Male,Handbag,Accessories,84
481,68,Male,Hoodie,Clothing,88
482,46,Male,Hat,Accessories,88
483,41,Male,Belt,Accessories,42
484,23,Male,Hoodie,Clothing,73
485,68,Male,Hat,Accessories,73
486,48,Male,Shoes,Footwear,44
487,38,Male,Sandals,Footwear,63
488,41,Male,Jacket,Outerwear,68
489,58,Male,Sweater,Clothing,29
490,49,Male,Socks,Clothing,85
491,57,Male,Sneakers,Footwear,42
492,49,Male,Coat,Outerwear,69
493,50,Male,Shirt,Clothing,62
494,28,Male,Backpack,Accessories,48
495,38,Male,Boots,Footwear,68
496,33,Male,Handbag,Accessories,36
497,30,Male,Dress,Clothing,63
498,43,Male,Sneakers,Footwear,39
499,43,Male,Boots,Footwear,78
500,36,Male,Shoes,Footwear,99
501,36,Male,T-shirt,Clothing,31
502,64,Male,Boots,Footwear,45
503,59,Male,Pants,Clothing,30
504,55,Male,Shoes,Footwear,24
505,42,Male,Shoes,Footwear,22
506,61,Male,T-shirt,Clothing,63
507,28,Male,Scarf,Accessories,40
508,65,Male,Shorts,Clothing,20
509,27,Male,Jewelry,Accessories,20
510,41,Male,T-shirt,Clothing,80
511,21,Male,Shirt,Clothing,87
512,61,Male,Shirt,Clothing,46
513,19,Male,Gloves,Accessories,49
514,22,Male,Scarf,Accessories,65
515,64,Male,Skirt,Clothing,62
516,28,Male,Hat,Accessories,67
517,34,Male,Hoodie,Clothing,41
518,61,Male,Boots,Footwear,49
519,24,Male,Blouse,Clothing,100
520,19,Male,Belt,Accessories,54
521,51,Male,Sunglasses,Accessories,84
522,36,Male,Shorts,Clothing,41
523,65,Male,Gloves,Accessories,88
524,46,Male,Sandals,Footwear,40
525,59,Male,Shirt,Clothing,39
526,51,Male,Coat,Outerwear,37
527,51,Male,Pants,Clothing,52
528,21,Male,T-shirt,Clothing,23
529,34,Male,Sneakers,Footwear,88
530,32,Male,Shorts,Clothing,84
531,48,Male,Coat,Outerwear,37
532,50,Male,Sandals,Footwear,51
533,26,Male,Pants,Clothing,76
534,57,Male,Sandals,Footwear,60
535,65,Male,Gloves,Accessories,72
536,56,Male,T-shirt,Clothing,45
537,44,Male,Jacket,Outerwear,84
538,50,Male,Blouse,Clothing,49
539,27,Male,Socks,Clothing,22
540,49,Male,Coat,Outerwear,48
541,49,Male,Dress,Clothing,37
542,52,Male,Jacket,Outerwear,27
543,27,Male,Boots,Footwear,79
544,53,Male,Skirt,Clothing,98
545,34,Male,Sandals,Footwear,64
546,33,Male,Coat,Outerwear,32
547,62,Male,Hoodie,Clothing,74
548,38,Male,Jacket,Outerwear,50
549,36,Male,Backpack,Accessories,64
550,31,Male,Backpack,Accessories,29
551,62,Male,Belt,Accessories,62
552,29,Male,Coat,Outerwear,78
553,24,Male,T-shirt,Clothing,94
554,63,Male,Sunglasses,Accessories,59
555,56,Male,Sneakers,Footwear,47
556,63,Male,Gloves,Accessories,57
557,40,Male,Coat,Outerwear,90
558,18,Male,Shirt,Clothing,60
559,50,Male,Sneakers,Footwear,77
560,66,Male,Scarf,Accessories,41
561,25,Male,Jewelry,Accessories,48
562,65,Male,Jacket,Outerwear,65
563,53,Male,Jeans,Clothing,62
564,61,Male,Shoes,Footwear,99
565,67,Male,Hoodie,Clothing,58
566,59,Male,Backpack,Accessories,43
567,55,Male,Sneakers,Footwear,93
568,21,Male,Blouse,Clothing,50
569,44,Male,Pants,Clothing,88
570,65,Male,Skirt,Clothing,33
571,65,Male,T-shirt,Clothing,99
572,54,Male,Jacket,Outerwear,76
573,56,Male,Scarf,Accessories,97
574,58,Male,Pants,Clothing,68
575,54,Male,Sneakers,Footwear,79
576,58,Male,Jeans,Clothing,86
577,48,Male,Hat,Accessories,68
578,19,Male,Skirt,Clothing,52
579,69,Male,Sandals,Footwear,90
580,58,Male,Sandals,Footwear,41
581,49,Male,Sweater,Clothing,80
582,32,Male,Sweater,Clothing,100
583,40,Male,Jacket,Outerwear,77
584,25,Male,Shorts,Clothing,78
585,70,Male,Socks,Clothing,94
586,69,Male,Socks,Clothing,23
587,45,Male,Hoodie,Clothing,20
588,29,Male,Socks,Clothing,86
589,47,Male,Boots,Footwear,60
590,28,Male,Shirt,Clothing,70
591,64,Male,Belt,Accessories,39
592,47,Male,Backpack,Accessories,37
593,60,Male,Boots,Footwear,29
594,67,Male,Coat,Outerwear,35
595,35,Male,Hoodie,Clothing,83
596,30,Male,Shoes,Footwear,77
597,23,Male,Shoes,Footwear,37
598,70,Male,Jewelry,Accessories,69
599,21,Male,Dress,Clothing,66
600,51,Male,Boots,Footwear,26
601,22,Male,Hat,Accessories,63
602,32,Male,Backpack,Accessories,38
603,37,Male,Shoes,Footwear,58
604,31,Male,Handbag,Accessories,46
605,44,Male,Sunglasses,Accessories,92
606,40,Male,Hat,Accessories,32
607,27,Male,Scarf,Accessories,90
608,47,Male,Hoodie,Clothing,23
609,41,Male,Backpack,Accessories,25
610,51,Male,Sweater,Clothing,54
611,53,Male,Shorts,Clothing,72
612,43,Male,Scarf,Accessories,33
613,67,Male,Hat,Accessories,43
614,61,Male,Coat,Outerwear,51
615,68,Male,Jewelry,Accessories,85
616,67,Male,Sandals,Footwear,100
617,29,Male,Gloves,Accessories,72
618,50,Male,Backpack,Accessories,57
619,61,Male,Jacket,Outerwear,94
620,19,Male,Backpack,Accessories,34
621,33,Male,Backpack,Accessories,89
622,51,Male,Sunglasses,Accessories,27
623,69,Male,Socks,Clothing,63
624,19,Male,Shoes,Footwear,70
625,55,Male,Pants,Clothing,87
626,49,Male,Jewelry,Accessories,79
627,31,Male,Sunglasses,Accessories,79
628,42,Male,Sandals,Footwear,44
629,69,Male,Sweater,Clothing,85
630,26,Male,Shoes,Footwear,90
631,41,Male,Jewelry,Accessories,94
632,55,Male,Boots,Footwear,68
633,35,Male,Backpack,Accessories,51
634,66,Male,Sandals,Footwear,33
635,36,Male,Sneakers,Footwear,60
636,27,Male,Hoodie,Clothing,59
637,41,Male,Handbag,Accessories,30
638,21,Male,Sweater,Clothing,20
639,53,Male,Sandals,Footwear,20
640,54,Male,Dress,Clothing,24
641,53,Male,Skirt,Clothing,88
642,47,Male,Blouse,Clothing,78
643,64,Male,Skirt,Clothing,25
644,18,Male,Sweater,Clothing,57
645,68,Male,Backpack,Accessories,93
646,62,Male,Hoodie,Clothing,42
647,51,Male,Boots,Footwear,54
648,54,Male,Blouse,Clothing,70
649,22,Male,Hoodie,Clothing,31
650,53,Male,Pants,Clothing,93
651,34,Male,Gloves,Accessories,40
652,32,Male,Hat,Accessories,32
653,64,Male,Sunglasses,Accessories,27
654,20,Male,Scarf,Accessories,68
655,24,Male,Handbag,Accessories,59
656,20,Male,Handbag,Accessories,36
657,42,Male,Jeans,Clothing,23
658,48,Male,Jacket,Outerwear,80
659,62,Male,Backpack,Accessories,37
660,62,Male,Shorts,Clothing,52
661,50,Male,Coat,Outerwear,79
662,57,Male,Shirt,Clothing,68
663,24,Male,Gloves,Accessories,98
664,59,Male,Dress,Clothing,83
665,63,Male,Pants,Clothing,83
666,41,Male,Pants,Clothing,55
667,35,Male,Hoodie,Clothing,26
668,34,Male,Sunglasses,Accessories,76
669,49,Male,T-shirt,Clothing,85
670,43,Male,Jacket,Outerwear,89
671,63,Male,Sweater,Clothing,41
672,38,Male,Jacket,Outerwear,30
673,59,Male,Socks,Clothing,53
674,35,Male,Shirt,Clothing,66
675,48,Male,Jewelry,Accessories,33
676,64,Male,Sunglasses,Accessories,86
677,28,Male,Pants,Clothing,60
678,60,Male,Socks,Clothing,62
679,27,Male,Blouse,Clothing,74
680,56,Male,Sandals,Footwear,95
681,58,Male,Sneakers,Footwear,25
682,30,Male,Shirt,Clothing,59
683,23,Male,Jacket,Outerwear,29
684,33,Male,Sandals,Footwear,36
685,63,Male,Hat,Accessories,82
686,70,Male,Blouse,Clothing,71
687,70,Male,Sweater,Clothing,35
688,19,Male,Gloves,Accessories,38
689,25,Male,Scarf,Accessories,59
690,19,Male,Hoodie,Clothing,91
691,25,Male,Shorts,Clothing,68
692,60,Male,Backpack,Accessories,21
693,35,Male,Sunglasses,Accessories,95
694,46,Male,Shorts,Clothing,52
695,41,Male,Dress,Clothing,21
696,30,Male,Shorts,Clothing,67
697,44,Male,Belt,Accessories,42
698,61,Male,Scarf,Accessories,63
699,55,Male,Boots,Footwear,41
700,50,Male,Handbag,Accessories,46
701,57,Male,Pants,Clothing,79
702,51,Male,Boots,Footwear,90
703,18,Male,Shirt,Clothing,71
704,63,Male,Dress,Clothing,87
705,34,Male,Hoodie,Clothing,66
706,25,Male,Pants,Clothing,90
707,46,Male,Jeans,Clothing,47
708,59,Male,Shirt,Clothing,38
709,37,Male,Backpack,Accessories,50
710,49,Male,Jacket,Outerwear,79
711,22,Male,Scarf,Accessories,91
712,64,Male,Boots,Footwear,60
713,42,Male,Blouse,Clothing,81
714,37,Male,Hoodie,Clothing,90
715,26,Male,Jacket,Outerwear,70
716,33,Male,Jeans,Clothing,63
717,30,Male,Jewelry,Accessories,29
718,21,Male,Socks,Clothing,90
719,22,Male,Shirt,Clothing,22
720,63,Male,Shorts,Clothing,22
721,33,Male,Jewelry,Accessories,62
722,43,Male,Blouse,Clothing,57
723,27,Male,Sweater,Clothing,32
724,35,Male,Jewelry,Accessories,53
725,37,Male,T-shirt,Clothing,79
726,61,Male,Hat,Accessories,61
727,32,Male,Shorts,Clothing,78
728,62,Male,Sweater,Clothing,97
729,29,Male,Jeans,Clothing,78
730,41,Male,Sunglasses,Accessories,56
